,State,Total
20,Maharashtra,901945
37,West Bengal,849936
30,Tamil Nadu,818691
1,Andhra Pradesh,814059
16,Karnataka,734825
17,Kerala,538946
19,Madhya Pradesh,451535
11,Gujarat,330858
6,Chhattisgarh,302354
25,Odisha,267234
28,Rajasthan,255134
35,Uttar Pradesh,233352
3,Assam,172276
12,Haryana,147176
9,Delhi (Ut),84272
33,Total (Uts),53836
15,Jharkhand,49720
27,Punjab,46350
4,Bihar,46214
34,Tripura,45965
26,Puducherry,32144
13,Himachal Pradesh,26562
36,Uttarakhand,18496
10,Goa,17363
14,Jammu & Kashmir,14821
29,Sikkim,9606
0,A & N Islands,8109
2,Arunachal Pradesh,6633
22,Meghalaya,5415
5,Chandigarh,5164
23,Mizoram,4154
7,D & N Haveli,3430
21,Manipur,2102
24,Nagaland,1728
8,Daman & Diu,1391
18,Lakshadweep,50
